Relation Matrix:
          A   B   C   D   E   F   G   H   I   J   K   L   M   N   O   P   Q   R   S   T   U   V   W   X   Y   Sum
D   | [ -1143 -3365  -146     0 -4811 -3938 -2364 -1779 -1323 -4363 -1985 -3610 -3541 -2775  -905  -817 -3190 -2813 -1018 -4328  -633 -3721 -1448 -3050 -1855] -58921
E   | [ -4308 -1154  -719 -4811     0 -1439  -897  -432 -2352 -2656 -3182 -2743 -4018  -876 -1790 -2926 -1723 -3626 -1327 -2357 -3582 -2590 -2909 -4031 -2884] -59332
F   | [ -1803 -1601 -2966 -3938 -1439     0 -4560 -2679 -2511 -3127 -3989 -3790  -697 -4515 -2597  -757 -3322 -1097 -1414 -3668 -1581  -877  -116 -3926 -2251] -59221
G   | [ -1141 -1443 -3816 -2364  -897 -4560     0 -2761 -1897 -2393  -471 -2144 -2819  -613 -2703 -1367 -2780 -3795 -2576 -3654 -4015 -2255 -1998 -2568 -3989] -59019
H   | [ -2932 -3522 -1311 -1779  -432 -2679 -2761     0 -3448  -848 -3438 -2663 -3554  -388 -1470 -2462 -2795 -1866 -3455 -3021 -2902 -1118 -4077 -3303 -2948] -59172
I   | [  -172 -1866  -591 -1323 -2352 -2511 -1897 -3448     0 -2360 -3702 -1847  -650 -3148 -2022 -4934 -1379 -4722 -4871  -765 -2686 -4238 -1893 -3831 -1868] -59076
J   | [ -4556 -1450 -3175 -4363 -2656 -3127 -2393  -848 -2360     0 -4150 -1455 -3090 -4364 -1150 -2814  -555 -1162 -2535  -973 -2174 -3270 -3325  -199 -2916] -59060
K   | [ -1314 -1112 -3461 -1985 -3182 -3989  -471 -3438 -3702 -4150     0 -1549 -3400 -3666 -2252 -2140 -3841 -1448 -3301 -2027 -1692 -1276 -1787 -1037 -3178] -59398
L   | [ -1475 -1681 -2278 -3610 -2743 -3790 -2144 -2663 -1847 -1455 -1549     0  -417 -3563 -3733 -2877 -1506  -577 -2574 -3028 -2573 -3021 -4348 -3622 -2355] -59429
M   | [  -710 -4084 -2617 -3541 -4018  -697 -2819 -3554  -650 -3090 -3400  -417     0 -1670 -4144 -4176 -2709 -4108 -1401 -1063 -3008 -1536 -1375 -1633 -3126] -59546
N   | [ -1816 -2838 -3363 -2775  -876 -4515  -613  -388 -3148 -4364 -3666 -3563 -1670     0   -42  -482 -3935  -846 -4235 -3249 -3538 -3242 -2721 -1491 -1952] -59328
O   | [ -3114 -2264 -2165  -905 -1790 -2597 -2703 -1470 -2022 -1150 -2252 -3733 -4144   -42     0 -4276 -3385 -3656  -397 -3515  -348 -3316 -3347 -2453 -4354] -59398
P   | [ -3362 -1480 -4453  -817 -2926  -757 -1367 -2462 -4934 -2814 -2140 -2877 -4176  -482 -4276     0 -2313 -1840 -3621 -2683 -1172 -1020 -4075 -1789 -1122] -58958
Q   | [ -2471 -2101 -1786 -3190 -1723 -3322 -2780 -2795 -1379  -555 -3841 -1506 -2709 -3935 -3385 -2313     0 -3181 -3834  -760 -4289 -2097 -1528 -2818  -831] -59129
R   | [ -1638 -1196 -1553 -2813 -3626 -1097 -3795 -1866 -4722 -1162 -1448  -577 -4108  -846 -3656 -1840 -3181     0 -3505 -4655 -1968 -5080  -743 -2273 -1366] -58714
S   | [ -3659 -1345 -3814 -1018 -1327 -1414 -2576 -3455 -4871 -2535 -3301 -2574 -1401 -4235  -397 -3621 -3834 -3505     0 -1900 -2861 -2493 -1324  -982  -651] -59093
T   | [ -1857 -3695 -1220 -4328 -2357 -3668 -3654 -3021  -765  -973 -2027 -3028 -1063 -3249 -3515 -2683  -760 -4655 -1900     0 -2595  -835 -4370 -1076 -2065] -59359
U   | [ -3802 -2640 -3405  -633 -3582 -1581 -4015 -2902 -2686 -2174 -1692 -2573 -3008 -3538  -348 -1172 -4289 -1968 -2861 -2595     0  -908 -3171  -405 -3506] -59454
V   | [ -4322 -4264 -3133 -3721 -2590  -877 -2255 -1118 -4238 -3270 -1276 -3021 -1536 -3242 -3316 -1020 -2097 -5080 -2493  -835  -908     0  -595 -3925  -186] -59318
W   | [ -3489 -4391 -2252 -1448 -2909  -116 -1998 -4077 -1893 -3325 -1787 -4348 -1375 -2721 -3347 -4075 -1528  -743 -1324 -4370 -3171  -595     0 -1316 -2761] -59359
X   | [ -2571 -4217 -3710 -3050 -4031 -3926 -2568 -3303 -3831  -199 -1037 -3622 -1633 -1491 -2453 -1789 -2818 -2273  -982 -1076  -405 -3925 -1316     0 -3547] -59773
Y   | [ -4088 -2662 -2875 -1855 -2884 -2251 -3989 -2948 -1868 -2916 -3178 -2355 -3126 -1952 -4354 -1122  -831 -1366  -651 -2065 -3506  -186 -2761 -3547     0] -59336

Relation Matrix:
            A     B     C     D     E     F     G     H     I     J     K     L     M     N     O     P     Q     S     T     U    RV     W     X     Y     Sum
A   | [     0   126   102   164    15   124   160    79   198    16   137   129   156   119    62    70   100  76.0    52   116    31    48    69    24] 2173.0
B   | [   126     0    72    85   160   146   161    68   141   159   159   134    29    90   111   162   129 100.0   162    53    93    24    14    97] 2475.0
C   | [   102    72     0   198   157    68    41   139   173    66    40    88    69    47    94    17   121  95.0    38   135    40    92    14    67] 1973.0
D   | [   164    85   198     0    17    58   132   150   173    47   132    63    61   102   177   199    93  87.0   185    36   186   156    72   140] 2713.0
E   | [    15   160   157    17     0   145   176   189   113   101    65    82    24   164   123    94   137  76.5   155   101    46    78    14    80] 2312.5
F   | [   124   146    68    58   145     0    28   100   111    86    36    43   167    17    94   189    75 169.5   156    51   134   199    23   111] 2330.5
G   | [   160   161    41   132   176    28     0   105   145   125   191   120    87   188    98   172   106  93.0   116    60    41   129    88    47] 2609.0
H   | [    79    68   139   150   189   100   105     0    74   183    61    92    50   191   143   120    99 150.5    73    80    81    36    51    84] 2398.5
I   | [   198   141   173   173   113   111   145    74     0   124    54   130   175    80   124    21   162  30.0    18   178    94   131    33   133] 2615.0
J   | [    16   159    66    47   101    86   125   183   124     0    36   147    74    30   161   110   197 125.0   116   170   116    72   185    90] 2536.0
K   | [   137   159    40   132    65    36   191    61    54    36     0   129    47    45   101   124    46 146.5    70   112   122   122   136    65] 2176.5
L   | [   129   134    88    63    82    43   120    92   130   147   129     0   170    48    38    92   142 127.0    99    69    84    14    27    98] 2165.0
M   | [   156    29    69    61    24   167    87    50   175    74    47   170     0   122    16    33    87  79.5   143   146    61   133   105    61] 2095.5
N   | [   119    90    47   102   164    17   188   191    80    30    45    48   122     0   196   196    45 121.0    34    64    48    86   120   119] 2272.0
O   | [    62   111    94   177   123    94    98   143   124   161   101    38    16   196     0    35    65  58.0   191    50   178    57    77    16] 2265.0
P   | [    70   162    17   199    94   189   172   120    21   110   124    92    33   196    35     0   128 162.0    75   103   162    45   123   169] 2601.0
Q   | [   100   129   121    93   137    75   106    99   162   197    46   142    87    45    65   128     0 104.5    59   176    25   144    73   174] 2487.5
S   | [  76.0 100.0  95.0  87.0  76.5 169.5  93.0 150.5  30.0 125.0 146.5 127.0  79.5 121.0  58.0 162.0 104.5     0  91.0  90.5 141.0 177.0  58.5 173.5] 2532.5
T   | [    52   162    38   185   155   156   116    73    18   116    70    99   143    34   191    75    59  91.0     0   130    86   154   151   183] 2537.0
U   | [   116    53   135    36   101    51    60    80   178   170   112    69   146    64    50   103   176  90.5   130     0    86    16   136   113] 2271.5
RV  | [    31    93    40   186    46   134    41    81    94   116   122    84    61    48   178   162    25 141.0    86    86     0    62   160    49] 2126.0
W   | [    48    24    92   156    78   199   129    36   131    72   122    14   133    86    57    45   144 177.0   154    16    62     0   126    84] 2185.0
X   | [    69    14    14    72    14    23    88    51    33   185   136    27   105   120    77   123    73  58.5   151   136   160   126     0    34] 1889.5
Y   | [    24    97    67   140    80   111    47    84   133    90    65    98    61   119    16   169   174 173.5   183   113    49    84    34     0] 2211.5

Q-Score Matrix:
              A       B       C       D       E       F       G       H       I       J       K       L       M       N       O       P       Q       S       T       U      RV       W       X       Y       Sum
A   | [       0 -1750.0 -1800.0 -1114.0 -4140.5 -1651.5 -1102.0 -2754.5  -234.0 -4341.0 -1198.5 -1371.0  -680.5 -1708.0 -3012.0 -3164.0 -2360.5 -2957.5 -3514.0 -1776.5 -3586.0 -3254.0 -2475.5 -3832.5] -53778.0
B   | [ -1750.0       0 -2792.0 -3233.0 -1107.5 -1447.5 -1381.0 -3309.5 -1847.0 -1354.0  -994.5 -1558.0 -3903.5 -2677.0 -2187.0 -1350.0 -1995.5 -2707.5 -1286.0 -3527.5 -2462.0 -4108.0 -4042.5 -2455.5] -53476.0
C   | [ -1800.0 -2792.0       0  -132.0  -674.5 -2739.5 -3639.0 -1174.5  -609.0 -2991.0 -3229.5 -2114.0 -2481.5 -3164.0 -2076.0 -4183.0 -1677.5 -2320.5 -3636.0 -1139.5 -3179.0 -2042.0 -3540.5 -2643.5] -53978.0
D   | [ -1114.0 -3233.0  -132.0       0 -4634.5 -3709.5 -2286.0 -1661.5 -1349.0 -4168.0 -1853.5 -3429.0 -3405.5 -2639.0  -907.0  -737.0 -3061.5 -3244.5  -995.0 -4156.5  -561.0 -1310.0 -2946.5 -1704.5] -53238.0
E   | [ -4140.5 -1107.5  -674.5 -4634.5       0 -1308.0  -873.5  -364.0 -2328.5 -2525.5 -2994.0 -2591.5 -3856.0  -812.5 -1748.5 -2751.5 -1649.0 -3085.5 -1284.5 -2261.0 -3380.5 -2703.5 -3880.0 -2684.0] -53638.5
F   | [ -1651.5 -1447.5 -2739.5 -3709.5 -1308.0       0 -4295.5 -2429.0 -2392.5 -2888.5 -3679.0 -3506.5  -585.0 -4211.5 -2433.5  -584.5 -3093.0  -964.5 -1279.5 -3429.0 -1374.5    61.5 -3691.0 -1989.0] -53620.5
G   | [ -1102.0 -1381.0 -3639.0 -2286.0  -873.5 -4295.5       0 -2592.5 -1889.0 -2270.0  -392.5 -2014.0 -2703.5  -557.0 -2620.0 -1254.0 -2658.5 -3002.5 -2478.0 -3500.5 -3792.0 -1827.0 -2474.5 -3739.5] -53342.0
H   | [ -2754.5 -3309.5 -1174.5 -1661.5  -364.0 -2429.0 -2592.5       0 -3311.5  -725.5 -3172.0 -2447.5 -3344.0  -277.5 -1374.5 -2239.5 -2609.0 -1469.5 -3256.5 -2830.0 -2661.5 -3755.5 -3115.0 -2678.0] -53552.5
I   | [  -234.0 -1847.0  -609.0 -1349.0 -2328.5 -2392.5 -1889.0 -3311.5       0 -2299.0 -3549.5 -1790.0  -685.5 -3047.0 -2028.0 -4733.0 -1376.5 -4457.5 -4738.0  -792.5 -2579.0 -1787.0 -3745.5 -1767.5] -53336.0
J   | [ -4341.0 -1354.0 -2991.0 -4168.0 -2525.5 -2888.5 -2270.0  -725.5 -2299.0       0 -3884.5 -1320.0 -2929.5 -4118.0 -1098.0 -2607.0  -492.5 -2193.5 -2405.0  -897.5 -1994.0 -3065.0  -170.5 -2677.5] -53415.0
K   | [ -1198.5  -994.5 -3229.5 -1853.5 -2994.0 -3679.0  -392.5 -3172.0 -3549.5 -3884.5       0 -1374.5 -3191.0 -3413.5 -2118.5 -1925.5 -3606.0 -1339.5 -3103.5 -1872.0 -1496.5 -1555.5  -938.0 -2893.0] -53774.5
L   | [ -1371.0 -1558.0 -2114.0 -3429.0 -2591.5 -3506.5 -2014.0 -2447.5 -1790.0 -1320.0 -1374.5       0  -350.5 -3333.0 -3556.0 -2650.0 -1386.5 -1776.5 -2425.0 -2849.5 -2359.0 -4028.0 -3433.5 -2122.5] -53786.0
M   | [  -680.5 -3903.5 -2481.5 -3405.5 -3856.0  -585.0 -2703.5 -3344.0  -685.5 -2929.5 -3191.0  -350.5       0 -1561.5 -3992.5 -3937.5 -2582.0 -2799.5 -1343.5 -1009.0 -2818.5 -1221.5 -1570.0 -2904.0] -53855.5
N   | [ -1708.0 -2677.0 -3164.0 -2639.0  -812.5 -4211.5  -557.0  -277.5 -3047.0 -4118.0 -3413.5 -3333.0 -1561.5       0   -29.0  -365.0 -3724.5 -2021.5 -4027.0 -3071.5 -3294.0 -2479.0 -1401.5 -1746.5] -53679.0
O   | [ -3012.0 -2187.0 -2076.0  -907.0 -1748.5 -2433.5 -2620.0 -1374.5 -2028.0 -1098.0 -2118.5 -3556.0 -3992.5   -29.0       0 -4061.0 -3257.5 -3463.5  -409.0 -3386.5  -297.0 -3139.0 -2383.5 -4108.5] -53686.0
P   | [ -3164.0 -1350.0 -4183.0  -737.0 -2751.5  -584.5 -1254.0 -2239.5 -4733.0 -2607.0 -1925.5 -2650.0 -3937.5  -365.0 -4061.0       0 -2144.5 -1407.5 -3413.0 -2503.5 -1001.0 -3751.0 -1661.5  -925.5] -53350.0
Q   | [ -2360.5 -1995.5 -1677.5 -3061.5 -1649.0 -3093.0 -2658.5 -2609.0 -1376.5  -492.5 -3606.0 -1386.5 -2582.0 -3724.5 -3257.5 -2144.5       0 -2616.5 -3667.5  -711.0 -4038.5 -1360.5 -2698.0  -697.0] -53463.5
S   | [ -2957.5 -2707.5 -2320.5 -3244.5 -3085.5  -964.5 -3002.5 -1469.5 -4457.5 -2193.5 -1339.5 -1776.5 -2799.5 -2021.5 -3463.5 -1407.5 -2616.5       0 -2976.5 -2722.5 -1415.5  -646.5 -3076.5  -753.5] -53418.5
T   | [ -3514.0 -1286.0 -3636.0  -995.0 -1284.5 -1279.5 -2478.0 -3256.5 -4738.0 -2405.0 -3103.5 -2425.0 -1343.5 -4027.0  -409.0 -3413.0 -3667.5 -2976.5       0 -1818.5 -2685.0 -1180.0  -953.5  -539.5] -53414.0
U   | [ -1776.5 -3527.5 -1139.5 -4156.5 -2261.0 -3429.0 -3500.5 -2830.0  -792.5  -897.5 -1872.0 -2849.5 -1009.0 -3071.5 -3386.5 -2503.5  -711.0 -2722.5 -1818.5       0 -2419.5 -4088.5 -1033.0 -1884.0] -53679.5
RV  | [ -3586.0 -2462.0 -3179.0  -561.0 -3380.5 -1374.5 -3792.0 -2661.5 -2579.0 -1994.0 -1496.5 -2359.0 -2818.5 -3294.0  -297.0 -1001.0 -4038.5 -1415.5 -2685.0 -2419.5       0 -2885.0  -335.5 -3210.5] -53825.0
W   | [ -3254.0 -4108.0 -2042.0 -1310.0 -2703.5    61.5 -1827.0 -3755.5 -1787.0 -3065.0 -1555.5 -4028.0 -1221.5 -2479.0 -3139.0 -3751.0 -1360.5  -646.5 -1180.0 -4088.5 -2885.0       0 -1176.5 -2464.5] -53766.0
X   | [ -2475.5 -4042.5 -3540.5 -2946.5 -3880.0 -3691.0 -2474.5 -3115.0 -3745.5  -170.5  -938.0 -3433.5 -1570.0 -1401.5 -2383.5 -1661.5 -2698.0 -3076.5  -953.5 -1033.0  -335.5 -1176.5       0 -3319.0] -54061.5
Y   | [ -3832.5 -2455.5 -2643.5 -1704.5 -2684.0 -1989.0 -3739.5 -2678.0 -1767.5 -2677.5 -2893.0 -2122.5 -2904.0 -1746.5 -4108.5  -925.5  -697.0  -753.5  -539.5 -1884.0 -3210.5 -2464.5 -3319.0       0] -53739.5

Relation Matrix:
            A     B     C     D     E     F     G     H     J     K     L     M     N     O     P     Q     S    IT     U    RV     W     X     Y     Sum
A   | [     0   126   102   164    15   124   160    79 116.0    16   137   129   156   119    62    70   100  76.0   116    31    48    69    24] 2039.0
B   | [   126     0    72    85   160   146   161    68 142.5   159   159   134    29    90   111   162   129 100.0    53    93    24    14    97] 2314.5
C   | [   102    72     0   198   157    68    41   139  96.5    66    40    88    69    47    94    17   121  95.0   135    40    92    14    67] 1858.5
D   | [   164    85   198     0    17    58   132   150 170.0    47   132    63    61   102   177   199    93  87.0    36   186   156    72   140] 2525.0
E   | [    15   160   157    17     0   145   176   189 125.0   101    65    82    24   164   123    94   137  76.5   101    46    78    14    80] 2169.5
F   | [   124   146    68    58   145     0    28   100 124.5    86    36    43   167    17    94   189    75 169.5    51   134   199    23   111] 2188.0
G   | [   160   161    41   132   176    28     0   105 121.5   125   191   120    87   188    98   172   106  93.0    60    41   129    88    47] 2469.5
H   | [    79    68   139   150   189   100   105     0  64.5   183    61    92    50   191   143   120    99 150.5    80    81    36    51    84] 2316.0
J   | [ 116.0 142.5  96.5 170.0 125.0 124.5 121.5  64.5     0 111.0  53.0 105.5 150.0  48.0 148.5  39.0 101.5  51.5 145.0  81.0 133.5  83.0 149.0] 2360.0
K   | [    16   159    66    47   101    86   125   183 111.0     0    36   147    74    30   161   110   197 125.0   170   116    72   185    90] 2407.0
L   | [   137   159    40   132    65    36   191    61  53.0    36     0   129    47    45   101   124    46 146.5   112   122   122   136    65] 2105.5
M   | [   129   134    88    63    82    43   120    92 105.5   147   129     0   170    48    38    92   142 127.0    69    84    14    27    98] 2041.5
N   | [   156    29    69    61    24   167    87    50 150.0    74    47   170     0   122    16    33    87  79.5   146    61   133   105    61] 1927.5
O   | [   119    90    47   102   164    17   188   191  48.0    30    45    48   122     0   196   196    45 121.0    64    48    86   120   119] 2206.0
P   | [    62   111    94   177   123    94    98   143 148.5   161   101    38    16   196     0    35    65  58.0    50   178    57    77    16] 2098.5
Q   | [    70   162    17   199    94   189   172   120  39.0   110   124    92    33   196    35     0   128 162.0   103   162    45   123   169] 2544.0
S   | [   100   129   121    93   137    75   106    99 101.5   197    46   142    87    45    65   128     0 104.5   176    25   144    73   174] 2368.0
IT  | [  76.0 100.0  95.0  87.0  76.5 169.5  93.0 150.5  51.5 125.0 146.5 127.0  79.5 121.0  58.0 162.0 104.5     0  90.5 141.0 177.0  58.5 173.5] 2463.0
U   | [   116    53   135    36   101    51    60    80 145.0   170   112    69   146    64    50   103   176  90.5     0    86    16   136   113] 2108.5
RV  | [    31    93    40   186    46   134    41    81  81.0   116   122    84    61    48   178   162    25 141.0    86     0    62   160    49] 2027.0
W   | [    48    24    92   156    78   199   129    36 133.5    72   122    14   133    86    57    45   144 177.0    16    62     0   126    84] 2033.5
X   | [    69    14    14    72    14    23    88    51  83.0   185   136    27   105   120    77   123    73  58.5   136   160   126     0    34] 1788.5
Y   | [    24    97    67   140    80   111    47    84 149.0    90    65    98    61   119    16   169   174 173.5   113    49    84    34     0] 2044.5

Q-Score Matrix:
              A       B       C       D       E       F       G       H       J       K       L       M       N       O       P       Q       S      IT       U      RV       W       X       Y       Sum
A   | [       0 -1581.5 -1653.5  -956.0 -3878.5 -1499.0  -988.5 -2617.0 -1847.0 -4094.0 -1130.5 -1242.5  -534.5 -1627.0 -2773.5 -3043.0 -2207.0 -2830.0 -1595.5 -3384.0 -3016.5 -2309.5 -3555.5] -48364.0
B   | [ -1581.5       0 -2589.0 -2969.5  -964.0 -1290.5 -1242.0 -3134.5 -1539.5 -1223.5  -922.0 -1408.0 -3604.0 -2540.5 -1971.0 -1294.5 -1844.5 -2577.5 -3257.0 -2295.5 -3820.0 -3795.0 -2225.0] -48088.5
C   | [ -1653.5 -2589.0       0   -27.5  -574.0 -2550.5 -3426.0 -1116.5 -2095.5 -2813.5 -3084.0 -1964.0 -2268.0 -3030.5 -1889.0 -4028.5 -1564.5 -2231.5  -997.0 -3005.5 -1868.0 -3339.0 -2429.0] -48544.5
D   | [  -956.0 -2969.5   -27.5       0 -4320.5 -3437.0 -2090.5 -1541.0 -1145.0 -3898.0 -1726.5 -3180.5 -3110.5 -2487.0  -729.5  -691.0 -2847.0 -3074.0 -3841.5  -460.0 -1126.5 -2729.5 -1489.5] -47878.0
E   | [ -3878.5  -964.0  -574.0 -4320.5       0 -1167.5  -767.0  -327.5 -1779.5 -2354.5 -2845.0 -2407.0 -3569.0  -767.5 -1562.0 -2645.5 -1523.5 -2949.5 -2056.0 -3184.5 -2487.0 -3650.0 -2454.0] -48233.5
F   | [ -1499.0 -1290.5 -2550.5 -3437.0 -1167.5       0 -4041.5 -2304.0 -1809.0 -2703.0 -3501.5 -3283.5  -441.5 -4020.0 -2218.5  -574.0 -2906.0  -922.0 -3174.5 -1267.0   156.5 -3470.5 -1790.5] -48215.0
G   | [  -988.5 -1242.0 -3426.0 -2090.5  -767.0 -4041.5       0 -2475.5 -2156.5 -2126.5  -373.0 -1871.0 -2483.0  -539.5 -2412.0 -1229.5 -2505.5 -2886.5 -3258.0 -3594.5 -1665.0 -2322.0 -3480.0] -47933.5
H   | [ -2617.0 -3134.5 -1116.5 -1541.0  -327.5 -2304.0 -2475.5       0 -3257.0  -697.0 -3079.5 -2333.5 -3143.5  -320.0 -1268.5 -2220.0 -2506.0 -1468.0 -2664.5 -2561.0 -3557.5 -2982.5 -2512.5] -48087.0
J   | [ -1847.0 -1539.5 -2095.5 -1145.0 -1779.5 -1809.0 -2156.5 -3257.0       0 -2325.0 -3299.5 -2080.5  -987.5 -3510.0 -1191.5 -4046.0 -2495.0 -3690.0 -1278.5 -2605.0 -1456.5 -2322.5 -1126.5] -48043.0
K   | [ -4094.0 -1223.5 -2813.5 -3898.0 -2354.5 -2703.0 -2126.5  -697.0 -2325.0       0 -3720.5 -1214.5 -2706.5 -3953.0  -963.5 -2531.0  -441.0 -2120.0  -775.5 -1882.0 -2856.5  -125.5 -2471.5] -47996.0
L   | [ -1130.5  -922.0 -3084.0 -1726.5 -2845.0 -3501.5  -373.0 -3079.5 -3299.5 -3720.5       0 -1309.0 -2999.0 -3321.5 -1982.0 -1921.5 -3461.5 -1345.5 -1750.0 -1448.5 -1455.0  -902.0 -2720.0] -48297.5
M   | [ -1242.5 -1408.0 -1964.0 -3180.5 -2407.0 -3283.5 -1871.0 -2333.5 -2080.5 -1214.5 -1309.0       0  -229.0 -3191.5 -3304.0 -2561.5 -1285.5 -1710.5 -2632.0 -2220.5 -3767.0 -3236.0 -1930.0] -48361.5
N   | [  -534.5 -3604.0 -2268.0 -3110.5 -3569.0  -441.5 -2483.0 -3143.5  -987.5 -2706.5 -2999.0  -229.0       0 -1449.5 -3674.0 -3745.5 -2381.5 -2641.5  -824.0 -2612.5 -1035.0 -1406.0 -2630.0] -48475.5
O   | [ -1627.0 -2540.5 -3030.5 -2487.0  -767.5 -4020.0  -539.5  -320.0 -3510.0 -3953.0 -3321.5 -3191.5 -1449.5       0     7.5  -438.0 -3584.0 -2007.0 -2906.5 -3177.0 -2347.5 -1354.5 -1632.5] -48197.0
P   | [ -2773.5 -1971.0 -1889.0  -729.5 -1562.0 -2218.5 -2412.0 -1268.5 -1191.5  -963.5 -1982.0 -3304.0 -3674.0     7.5       0 -3872.5 -3036.5 -3285.5 -3107.0  -209.5 -2878.0 -2193.0 -3791.0] -48304.5
Q   | [ -3043.0 -1294.5 -4028.5  -691.0 -2645.5  -574.0 -1229.5 -2220.0 -4046.0 -2531.0 -1921.5 -2561.5 -3745.5  -438.0 -3872.5       0 -2096.0 -1443.0 -2386.5 -1007.0 -3587.5 -1626.5  -870.5] -47859.0
S   | [ -2207.0 -1844.5 -1564.5 -2847.0 -1523.5 -2906.0 -2505.5 -2506.0 -2495.0  -441.0 -3461.5 -1285.5 -2381.5 -3584.0 -3036.5 -2096.0       0 -2532.0  -604.5 -3845.0 -1233.5 -2550.5  -584.5] -48035.0
IT  | [ -2830.0 -2577.5 -2231.5 -3074.0 -2949.5  -922.0 -2886.5 -1468.0 -3690.0 -2120.0 -1345.5 -1710.5 -2641.5 -2007.0 -3285.5 -1443.0 -2532.0       0 -2580.5 -1388.0  -602.5 -2964.5  -690.5] -47940.0
U   | [ -1595.5 -3257.0  -997.0 -3841.5 -2056.0 -3174.5 -3258.0 -2664.5 -1278.5  -775.5 -1750.0 -2632.0  -824.0 -2906.5 -3107.0 -2386.5  -604.5 -2580.5       0 -2243.5 -3790.0  -905.0 -1667.0] -48294.5
RV  | [ -3384.0 -2295.5 -3005.5  -460.0 -3184.5 -1267.0 -3594.5 -2561.0 -2605.0 -1882.0 -1448.5 -2220.5 -2612.5 -3177.0  -209.5 -1007.0 -3845.0 -1388.0 -2243.5       0 -2696.5  -295.5 -2993.5] -48376.0
